id,name,short_name,category,business_summary,tier,official_page,download_url,grain,unit_of_observation,phi_classification,reid_risk,omop_status,curation_level,use_cases,vocabularies,last_validated
eicu-crd,eICU Collaborative Research Database,eICU-CRD,clinical-research,"A multi-center ICU dataset that helps validate critical care models beyond one hospital and study practice variation, mortality, and resource use.",registration,https://physionet.org/content/eicu-crd/2.0/,https://physionet.org/content/eicu-crd/2.0/,ICU patient/unit-stay/event tables across multiple hospitals,ICU stay and event,deidentified-credentialed,medium,custom-critical-care-etl,reference,mortality-risk;clinical-benchmarking;multimodal-modeling,patientUnitStayID;hospitalid;event tables,2026-05-17
mimic-cxr,MIMIC-CXR,MIMIC-CXR,clinical-research,A large de-identified chest X-ray and report dataset that helps teams build and test medical imaging and vision-language models.,registration,https://physionet.org/content/mimic-cxr/,https://physionet.org/content/mimic-cxr/,"participant, encounter, stay, event, waveform, image, or study record",clinical research observation,credentialed-deidentified-or-controlled,medium-to-high,supported-for-some-sources,seed,mortality-risk;clinical-benchmarking;multimodal-modeling,subject_id;study_id;DICOM metadata,2026-05-17
mimic-iii,MIMIC-III,MIMIC-III,clinical-research,"A classic ICU research dataset that helps teams benchmark critical care analytics, mortality prediction, length-of-stay modeling, and retrospective methods.",registration,https://physionet.org/content/mimiciii/,https://physionet.org/content/mimiciii/,"participant, encounter, stay, event, waveform, image, or study record",clinical research observation,credentialed-deidentified-or-controlled,medium-to-high,supported-for-some-sources,seed,mortality-risk;clinical-benchmarking;multimodal-modeling,subject_id;hadm_id;ICD-9-CM;itemid,2026-05-17
mimic-iv,MIMIC-IV,MIMIC-IV,clinical-research,"A modern de-identified hospital and ICU dataset that helps teams prototype clinical prediction, operational analytics, and OMOP-style EHR pipelines.",registration,https://physionet.org/content/mimiciv/,https://physionet.org/content/mimiciv/,"person, admission, ICU stay, procedure, diagnosis, lab, medication, chart-event, and note/module records depending access","hospital admission, ICU stay, or event",deidentified-credentialed,medium,well-supported,reference,mortality-risk;clinical-benchmarking;multimodal-modeling,subject_id;hadm_id;stay_id;ICD-9-CM;ICD-10-CM;RxNorm via ETL;LOINC-like lab item IDs,2026-05-17
physionet,PhysioNet Database Catalog,PhysioNet,clinical-research,"A catalog of clinical, waveform, imaging, and signal datasets that helps researchers find benchmark data for healthcare AI and physiology analytics.",mixed,https://physionet.org/,https://physionet.org/,"participant, encounter, stay, event, waveform, image, or study record",clinical research observation,credentialed-deidentified-or-controlled,medium-to-high,supported-for-some-sources,seed,mortality-risk;clinical-benchmarking;multimodal-modeling,,2026-05-17
seer-medicare,SEER-Medicare Linked Data,SEER-Medicare,clinical-research,"Linked cancer registry and Medicare claims data that helps oncology teams study treatment paths, outcomes, utilization, survivorship, and cost of cancer care.",dua,https://healthcaredelivery.cancer.gov/seermedicare/obtain/,https://healthcaredelivery.cancer.gov/seermedicare/obtain/,tumor/case registry records linked to beneficiary enrollment and Medicare claims,"cancer case, beneficiary, and claim-line",restricted-linked-registry-claims,high,custom-registry-plus-claims-etl,reference,mortality-risk;clinical-benchmarking;multimodal-modeling,ICD-O-3;BENE_ID;Medicare claims vocabularies,2026-05-17
uk-biobank,UK Biobank,UK Biobank,clinical-research,"A large U.K. cohort with health, imaging, lifestyle, and genetic data that helps study long-term disease risk and multimodal prediction.",irb,https://www.ukbiobank.ac.uk/use-our-data/apply-for-access/,https://www.ukbiobank.ac.uk/use-our-data/apply-for-access/,"participant, encounter, stay, event, waveform, image, or study record",clinical research observation,credentialed-deidentified-or-controlled,medium-to-high,supported-for-some-sources,seed,mortality-risk;clinical-benchmarking;multimodal-modeling,,2026-05-17
cms-care-compare-family,CMS Hospital / Nursing Home / Home Health / Hospice Compare,CMS Care Compare,cms-medicare,"Public CMS quality and performance data for hospitals, nursing homes, home health, hospice, and other providers, useful for provider selection, benchmarking, and network strategy.",open,https://data.cms.gov/provider-data/,https://data.cms.gov/provider-data/,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,,2026-05-17
cms-open-payments,CMS Open Payments,Open Payments,cms-medicare,"Public records of industry payments to physicians and teaching hospitals, useful for compliance reviews, conflict-of-interest checks, market mapping, and provider relationship analysis.",open,https://openpaymentsdata.cms.gov/,https://openpaymentsdata.cms.gov/,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,,2026-05-17
cms-provider-of-services-file,CMS Provider of Services File,POS File,cms-medicare,"A national file of Medicare-certified facilities and provider attributes, useful as a facility master list for market sizing, geographic access, and provider network analytics.",open,https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/provider-of-services-file,https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/provider-of-services-file,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,,2026-05-17
hcahps,HCAHPS Survey Results,HCAHPS,cms-medicare,"Hospital patient-experience survey results that help business and quality teams compare communication, responsiveness, discharge experience, and overall satisfaction across facilities.",open,https://www.cms.gov/medicare/quality/initiatives/hospital-quality-initiative/hcahps-patients-perspectives-care-survey,https://www.cms.gov/medicare/quality/initiatives/hospital-quality-initiative/hcahps-patients-perspectives-care-survey,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,,2026-05-17
medicare-advantage-enrollment-landscape,Medicare Advantage Enrollment and Landscape Files,MA enrollment/landscape,cms-medicare,"Medicare Advantage plan and enrollment files that help payers, brokers, providers, and investors understand plan availability, market share, and county-level competition.",open,https://www.cms.gov/data-research/statistics-trends-and-reports/medicareadvantagepartdenrollment,https://www.cms.gov/data-research/statistics-trends-and-reports/medicareadvantagepartdenrollment,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,,2026-05-17
medicare-beneficiary-summary-file,Medicare Beneficiary Summary File,MBSF,cms-medicare,"Medicare beneficiary demographics, enrollment, and chronic-condition context that helps define cohorts, adjust risk, and understand eligibility over time.",dua,https://resdac.org/cms-data/files/mbsf-base,https://resdac.org/cms-data/files/mbsf-base,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,BENE_ID;CCW chronic condition flags,2026-05-17
medicare-cost-reports-hcris,Medicare Cost Reports / HCRIS,HCRIS,cms-medicare,"Hospital and institutional cost-report data that helps finance, strategy, and operations teams study margins, costs, capacity, and provider financial performance.",open,https://www.cms.gov/data-research/statistics-trends-and-reports/cost-reports,https://www.cms.gov/data-research/statistics-trends-and-reports/cost-reports,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,,2026-05-17
medicare-ffs-claims-rif,Medicare Fee-for-Service Claims Research Identifiable and Limited Data Files,Medicare FFS Claims,cms-medicare,"Detailed Medicare fee-for-service claims used to follow patient care, cost, utilization, outcomes, and provider patterns over time for approved research and analytics.",dua,https://resdac.org/cms-data/request/cms-data-request-center,https://resdac.org/cms-data/request/cms-data-request-center,"beneficiary, claim, claim-line, enrollment-month, and provider/facility records",Medicare FFS beneficiary and claim-line,research-identifiable-or-limited-data-set,high,well-supported,reference,cost-prediction;provider-benchmarking;readmission-prediction,ICD-9-CM;ICD-10-CM;ICD-10-PCS;HCPCS;CPT;NDC;NPI;MS-DRG,2026-05-17
medicare-provider-utilization-payment,Medicare Provider Utilization and Payment Public Use Files,Medicare Provider Utilization,cms-medicare,"Public Medicare provider utilization and payment summaries that help teams benchmark services, procedure volumes, prescribing, payment levels, and provider market activity.",open,https://data.cms.gov/provider-summary-by-type-of-service,https://data.cms.gov/provider-summary-by-type-of-service,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,NPI;HCPCS;CPT;NDC;DRG,2026-05-17
medicare-synpuf,Medicare Claims Synthetic Public Use Files,DE-SynPUF,cms-medicare,"Synthetic Medicare-like claims data that lets engineering and analytics teams test pipelines, demos, and models without handling real patient information.",open,https://www.cms.gov/data-research/statistics-trends-and-reports/medicare-claims-synthetic-public-use-files,https://www.cms.gov/data-research/statistics-trends-and-reports/medicare-claims-synthetic-public-use-files,"synthetic beneficiary, claim, claim-line, and prescription event records",synthetic Medicare beneficiary and claim-line,synthetic,none,well-supported,reference,cost-prediction;provider-benchmarking;readmission-prediction,ICD-9-CM;HCPCS;CPT;NDC;MS-DRG,2026-05-17
meps,Medical Expenditure Panel Survey,MEPS,cms-medicare,"A national survey of healthcare use, insurance, spending, and conditions, useful for estimating cost burden, affordability, utilization patterns, and population-level demand.",open,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files.jsp,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files.jsp,"provider, beneficiary, claim, claim-line, plan, or facility-measure record depending on file",Medicare analytic record,public-aggregate-or-restricted-microdata,low-to-high depending access tier,supported-or-custom-claims-etl,seed,cost-prediction;provider-benchmarking;readmission-prediction,ICD/condition recodes;event identifiers;survey weights,2026-05-17
chembl,ChEMBL,ChEMBL,drug-pharma,"A public bioactivity and compound database that helps drug discovery teams study targets, assays, compounds, and mechanism-aware modeling.",open,https://www.ebi.ac.uk/chembl/downloads/,https://www.ebi.ac.uk/chembl/downloads/,"drug product, label, adverse-event report, compound, target, or safety concept",drug/safety record,none-public-regulatory-or-knowledgebase,low,drug-vocabulary-or-knowledge-enrichment,seed,adverse-drug-events;pharmacovigilance;drug-knowledge-graph,ChEMBL IDs;InChI;assay/target IDs,2026-05-17
dailymed,DailyMed Structured Product Labels,DailyMed,drug-pharma,"Structured FDA drug labels that help teams extract indications, warnings, contraindications, dosage, labeling history, and regulatory text features.",open,https://dailymed.nlm.nih.gov/dailymed/spl-resources-all-drug-labels.cfm,https://dailymed.nlm.nih.gov/dailymed/spl-resources-all-drug-labels.cfm,"drug product, label, adverse-event report, compound, target, or safety concept",drug/safety record,none-public-regulatory-or-knowledgebase,low,drug-vocabulary-or-knowledge-enrichment,seed,adverse-drug-events;pharmacovigilance;drug-knowledge-graph,SPL Set ID;NDC;RxNorm maps,2026-05-17
drugbank,DrugBank,DrugBank,drug-pharma,"A curated drug knowledge base that helps research, product, and AI teams connect drugs to targets, pathways, indications, interactions, and mechanisms.",purchase,https://go.drugbank.com/,https://go.drugbank.com/,"drug product, label, adverse-event report, compound, target, or safety concept",drug/safety record,none-public-regulatory-or-knowledgebase,low,drug-vocabulary-or-knowledge-enrichment,seed,adverse-drug-events;pharmacovigilance;drug-knowledge-graph,DrugBank ID;targets;pathways,2026-05-17
faers,FDA Adverse Event Reporting System,FAERS,drug-pharma,"FDA adverse drug event reports that help safety teams detect potential signals, monitor product issues, and enrich pharmacovigilance workflows.",open,https://www.fda.gov/drugs/questions-and-answers-fdas-adverse-event-reporting-system-faers/fda-adverse-event-reporting-system-faers-public-dashboard,https://www.fda.gov/drugs/questions-and-answers-fdas-adverse-event-reporting-system-faers/fda-adverse-event-reporting-system-faers-public-dashboard,"case/report tables across demographic, drug, reaction, indication, outcome, and therapy components",adverse-event case/report,none-public-regulatory-or-knowledgebase,low,custom-pharmacovigilance-etl,reference,adverse-drug-events;pharmacovigilance;drug-knowledge-graph,CASEID;ISR;MedDRA;drug names,2026-05-17
openfda,openFDA,openFDA,drug-pharma,"Open FDA APIs and downloads that help teams quickly access regulatory, recall, label, adverse event, and enforcement data for lightweight analytics.",open,https://open.fda.gov/,https://open.fda.gov/,endpoint-specific JSON record or bulk download document,regulatory record,none-public-regulatory-or-knowledgebase,low,knowledge-enrichment,reference,adverse-drug-events;pharmacovigilance;drug-knowledge-graph,NDC;UNII;MedDRA where applicable,2026-05-17
